 1.098e+01 3.035e-02 4.922e-02 9.697e-01 9.508e-01
 1.109e+01 2.907e-02 4.707e-02 9.709e-01 9.529e-01
 1.120e+01 2.762e-02 4.435e-02 9.724e-01 9.557e-01
 1.131e+01 2.616e-02 4.192e-02 9.738e-01 9.581e-01
 1.143e+01 2.491e-02 3.958e-02 9.751e-01 9.604e-01
 1.155e+01 2.365e-02 3.753e-02 9.764e-01 9.625e-01
 1.167e+01 2.248e-02 3.555e-02 9.775e-01 9.645e-01
 1.179e+01 2.131e-02 3.383e-02 9.787e-01 9.662e-01
 1.192e+01 2.026e-02 3.203e-02 9.797e-01 9.680e-01
 1.205e+01 1.920e-02 3.047e-02 9.808e-01 9.695e-01
 1.218e+01 1.823e-02 2.884e-02 9.818e-01 9.712e-01
 1.232e+01 1.726e-02 2.746e-02 9.827e-01 9.725e-01
 1.246e+01 1.645e-02 2.606e-02 9.836e-01 9.739e-01
 1.260e+01 1.563e-02 2.490e-02 9.844e-01 9.751e-01
 1.275e+01 1.478e-02 2.341e-02 9.852e-01 9.766e-01
 1.290e+01 1.392e-02 2.213e-02 9.861e-01 9.779e-01
 1.306e+01 1.299e-02 2.057e-02 9.870e-01 9.794e-01
 1.322e+01 1.204e-02 1.922e-02 9.880e-01 9.808e-01
 1.339e+01 1.115e-02 1.773e-02 9.889e-01 9.823e-01
 1.356e+01 1.025e-02 1.643e-02 9.898e-01 9.836e-01
 1.373e+01 9.344e-03 1.498e-02 9.907e-01 9.850e-01
 1.391e+01 8.437e-03 1.371e-02 9.916e-01 9.863e-01
 1.410e+01 7.604e-03 1.235e-02 9.924e-01 9.877e-01
 1.429e+01 6.767e-03 1.115e-02 9.932e-01 9.889e-01
 1.449e+01 6.016e-03 9.900e-03 9.940e-01 9.901e-01
 1.470e+01 5.261e-03 8.788e-03 9.947e-01 9.912e-01
 1.491e+01 4.599e-03 7.664e-03 9.954e-01 9.923e-01
 1.513e+01 3.933e-03 6.656e-03 9.961e-01 9.933e-01
 1.536e+01 3.388e-03 5.715e-03 9.966e-01 9.943e-01
 1.560e+01 2.840e-03 4.868e-03 9.972e-01 9.951e-01
 1.584e+01 2.405e-03 4.103e-03 9.976e-01 9.959e-01
 1.609e+01 1.968e-03 3.411e-03 9.980e-01 9.966e-01
 1.636e+01 1.628e-03 2.806e-03 9.984e-01 9.972e-01
 1.663e+01 1.287e-03 2.257e-03 9.987e-01 9.977e-01
 1.692e+01 1.035e-03 1.803e-03 9.990e-01 9.982e-01
 1.722e+01 7.821e-04 1.389e-03 9.992e-01 9.986e-01
 1.752e+01 6.131e-04 1.081e-03 9.994e-01 9.989e-01
 1.785e+01 4.429e-04 7.984e-04 9.996e-01 9.992e-01
 1.819e+01 3.385e-04 6.037e-04 9.997e-01 9.994e-01
